# id: GB/NERC/BAS/PDC/02058
# title: A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species
# summary: Data on the resting metabolic rate, body mass and body temperature data for a range of vertebrate and invertebrate taxa culled from the literature for a comprehensive study of scaling relationships.
# : The data are global in extent.
# : Funding acknowledgement: 
# : BAS Core Funding
# keywords: mass,metabolic rate,scaling,temperature
# citation: Clarke, A., & Johnston, N.M. (2025). A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/8d9ffd4a-16c0-4d48-9fc9-02988676ef78
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: Data for mammals, birds, reptiles, echinoderms, cephalopods and cnidarians were from previous compilations available in the published scientific literature.  Data for fish were compiled from published studies, validated and collated.
# comment: With the exception of the data for teleost fish, data were extracted from the literature, relying on quality control by the original compiler.  The fish data were edited to exclude data where fish were active, or where the range of body mass was too small for scaling parameters to be determined with precision.
# : The data have not been processed other than converting original units to SI where appropriate. For publication the data were analysed using Minitab (version 16) and R (version 4.4.2).
# institution: British Antarctic Survey
# authors: Andrew Clarke,Nadine M. Johnston
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# missing values: blank cell
Type,Authors,Date,Journal,Title,Volume,Issue,Pages,doi,Book title,Editor,Place of publication,Publisher
Journal Article,L. S. Peck; G. Chapelle,2004,Oikos,Amphipod crustacean size spectra: new insights in the relationship between size and oxygen,106,1,167-175,10.1111/j.0030-1299.2004.12934.x,,,,
Journal Article,L. S. Peck; S. H. P. Maddrell,2005,Journal of Experimental Zoology,Limitation of size by hypoxia in the fruit fly Drosophila melanogaster,303A,11,968-975,10.1002/jez.a.211,,,,
Journal Article,A. L. Perry; P. J. Low; J. R. Ellis; J. D. Reynolds,2005,Science,Climate change and distribution shifts in fishes,308,5730,1912-1915,10.1126/science.1111322,,,,
Book,R. H. Peters,1983,,,,,329,,The ecological implications of body size,E. Beck; H. J. B. Birks; E. F. Connor,Cambridge,Cambridge University Press
Journal Article,C. C. Peterson; K. A. Nagy; J. Diamond,1990,Proceedings of the National Academy of Sciences of the United States of America,Sustained metabolic scope,87,6,2324-2328,10.1073/pnas.87.6.2324,,,,
Book,K. Petrusewicz; A. Macfadyen,1970,,,,,190,,Productivity of terrestrial animals: principles and methods,,Oxford,Blackwell Scientific Publications
Journal Article,M. Pinsky; R. L. Seldon; K. Z. J,2020,Annual Review of Marine Science,Climate-driven shifts in marine species ranges: scaling from organisms to communities,12,,153-179,10.1146/annurev-marine-010419-010916,,,,
Journal Article,K. A. Pitt; C. M. Duarte; K. H. Lucas; K. R. Sutherland; R. H. Condon; H. Mianzan; J. E. Purcell; K. L. Robinson; S.-I. Uye,2012,PLoS One,Jellyfish body plans provide allometric advantages beyond low carbon content,8,8,Article e0072683,10.1371/journal.pone.0072683,,,,
Journal Article,C. A. Price; P. Drake; E. J. Veneklaas; M. Renton,2022,Plant Physiology,"Flow similarity, stochastic branching, and quarter-power scaling in plants",190,3,1854-1865,10.1093/plphys/kiac358,,,,
Journal Article,C. A. Price; J. F. Gillooly; A. P. Allen; J. S. Weitz; K. J. Niklas,2010,New Phytologist,The metabolic theory of ecology: prospects and challenges for plant biology,188,3,696-710,10.1111/j.1469-8137.2010.03442.x,,,,
Journal Article,C. A. Price; J. S. Weitz; V. M. Savage; J. Stegen; A. Clarke; D. A. Coomes; P. S. Dodds; A. J. Kerkhoff; K. McCulloh; K. J. Niklas; H. Olff; N. G. Swenson,2012,Ecology Letters,Testing the metabolic theory of ecology,15,12,1465-1474,10.1111/j.1461-0248.2012.01860.x,,,,
Journal Article,J. E. Purcell; V. Fuentes; D. Atienza; U. Tilves; D. Astorga; M. Kawahara; G. C. Hays,2010,Hydrobiologia,Use of respiration rates of scyphozoan jellyfish to estimate their effects on the food web,645,1,135-152,10.1007/s10750-010-0240-9,,,,
Book Section,L. B. Quetin; R. M. Ross; A. Clarke,1994,,Krill energetics: seasonal and environmental aspects of the physiology of Euphausia superba,,,165-184,,Southern Ocean ecology: the BIOMASS perspective,S. Z. El-Sayed,Cambridge,Cambridge University Press
Journal Article,D. A. Raichlen; A. D. Gordon; M. N. Muchlinski; J. J. Snodgrass,2010,Journal of Comparative Physiology B,Causes and significance of variation in mammalian basal metabolism,180,2,301-311,10.1007/s00360-009-0399-4,,,,
Journal Article,J.-F. Rameaux,1857,"Bulletins de l'Acade?mie Royale des Sciences, des Lettres et des Beaux Arts de Belgique","Des lois, suivant lesquelles les dimensions du corps, dans certaines classes d'animaux, d terminent la capacit  et les mouvements fonctionnels des poumons et du coeur",3,,94-104,,,,,
Journal Article,J.-F. Rameaux,1858,"M moires Couronn s et M moires des Savants Etrangers publi s par l'Acade?mie Royale des Sciences, des Lettres et des Beaux Arts de Belgique","Des lois, suivant lesquelles les dimensions du corps, dans certaines classes d'animaux, d terminent la capacit  et les mouvements fonctionnels des poumons et du coeur",29,,Jan-64,,,,,
Journal Article,D. A. Ratkowsky; J. Olley; T. Ross,2005,Journal of Theoretical Biology,Unifying temperature effects on the growth rate of bacteria and the stability of globular proteins,233,3,351-362,10.1016/j.jtbi.2004.10.016,,,,
Journal Article,J. A. Raven; R. J. Geider,1988,New Phytologist,Temperature and algal growth,110,4,441-461,10.1111/j.1469-8137.1988.tb00282.x,,,,
Journal Article,A. C. Redfield,1958,American Scientist,The biological control of chemical factors in the environment,46,3,205-221,,,,,
Journal Article,A. Regaudie-de-Gioux; C. M. Duarte,2012,Global Biogeochemical Cycles,Temperature dependence of planktonic metabolism in the ocean,26,,article GB1015,10.1029/2010GB003907,,,,
Journal Article,C. L. Reiber; I. J. McGaw,2009,International Journal of Zoology,"A review of the open"" and ""closed"" circulatory systems:  new terminology for complex invertebrate circulatory systems in light of current findings""",2009,,Article 301284 (8 pages),10.1155/2009/301284,,,,
Journal Article,P. B. Reich; T. M. G; J.-L. Machado; J. Oleksyn,2006,Nature,"Universal scaling of respiratory metabolism, size and nitrogen in plants",439,7075,457-461,10.1038/nature04282,,,,
Journal Article,M. A. Rex; J. A. Crame; C. T. Stuart; A. Clarke,2005,Ecology,Large scale biogeographic patterns in marine mollusks: a confluence of history and productivity,86,9,2288-2297,10.1890/04-1056,,,,
Journal Article,M. A. Rex; C. T. Stuart; G. Coyne,2000,Proceedings of the National Academy of Sciences of the United States of America,Latitudinal gradients of species richness in the deep-sea benthos of the North Atlantic,97,8,4082-4085,10.1073/pnas.050589497,,,,
Journal Article,P. S. Reynolds,1997,Journal of Mammalogy,Phylogenetic analysis of surface areas of mammals,78,3,859-868,10.2307/1382944,,,,
Journal Article,A. Ricciardi; E. Bourget,1998,Marine Ecology Progress Series,Weight-to-weight conversion factors for marine benthic macroinvertebrates ,163,,245-251,10.3354/meps163245,,,,
Journal Article,M. E. Roberts; E. N. Lightfoot; W. P. Porter,2010,Physiological and Biochemical Zoology,A new model for the body size-metabolism relationship,83,395-405,,10.1086/651564,,,,
Journal Article,W. R. Robinson; R. H. Peters; J. Zimmerman,1983,Canadian Journal of Zoology,The effects of body size and temperature on metabolic rate of organisms,61,2,281-288,10.1139/z83-037,,,,
Journal Article,J. Rolland; F. L. Condamine; F. Jiguet; H. Morlon,2014,PLoS Biology,Faster speciation and reduced extinction in the tropics contribute to the mammalian latitudinal diversity gadient,12,1,article e1001775,10.1371/journal.pbio.1001775,,,,
Journal Article,M. Rubner,1883,Zeitschrift f r Biologie,Ueber den Einfluss der K rpergr sse auf Stoff- und Kraftwechsel,19,4,535-562,,,,,
Journal Article,F. Sander,1973,Comparative Biochemistry and Physiology Part A: Physiology,A comparative study of respiration in two tropical marine polychaetes,46A,2,311-323,10.1016/0300-9629(73)90421-0,,,,
Journal Article,P. Sarrus; J.-F. Rameaux,1839,"Bulletin de l'Acad mie royale de M decine, Paris","Application des sciences accessoires et principalement des math matiques   la physiologie g n rale.  Rapport sur un m moire adress     Acad mie royale de m decine par MM. Sarrus, professeur de math matiques   la Fault  des sciences de Strasbourg, et Rameaux, docteur en m decine et  s-sciences (Commissaires: MM. Robiquet et Thillaye, rapporteur.)",3,,1094-1100,,,,,
Journal Article,V. M. Savage; A. P. Allen; J. H. Brown; J. F. Gillooly; A. B. Herman; W. H. Woodruff; G. B. West,2007,Proceedings of the National Academy of Sciences of the United States of America,"Scaling of number, size, and metabolic rate of cells with body size in mammals",104,11,4718-4723,10.1073/pnas.0611235104,,,,
Journal Article,V. M. Savage; E. J. Deeds; W. Fontana,2008,PLoS Computational Biology,Sizing up allometric scaling theory,4,9,e1000171,10.1371/journal.pcbi.1000171,,,,
Journal Article,V. M. Savage; J. F. Gillooly; J. H. Brown; G. B. West; E. L. Charnov,2004,American Naturalist,Effects of body size and temperature on population growth,163,3,429-441,10.1086/381872,,,,
Journal Article,V. M. Savage; J. F. Gillooly; W. H. Woodruff; G. B. West; A. P. Allen; B. J. Enquist; J. H. Brown,2004,Functional Ecology,The predominance of quarter-power scaling in biology,18,2,257-282,10.1111/j.0269-8463.2004.00856.x,,,,
Journal Article,J. P. W. Scharlemann; E. V. J. Tanner; R. Hiederer; V. Kapos,2014,Carbon Management,Global soil carbon: understanding and managing the largest terrestrial carbon pool,5,1,81-91,10.4155/CMT.13.77,,,,
Journal Article,D. Schluter,2016,American Naturalist,"Speciation, ecological opportunity, and latitude",187,1,Jan-18,10.1086/684193,,,,
Book,K. Schmidt-Nielsen,1984,,,,,241,,Scaling: why is animal size so important?,,Cambridge,Cambridge University Press
Journal Article,K. P. Sebens,1981,Biological Bulletin,"The allometry of feeding, energetics, and body size in 3 sea-anemone species",161,1,152-171,10.2307/1541115,,,,
Book Section,K. P. Sebens,1987,,Coelenterate energetics,1,,55-120,,Animal energetics,T. J. Pandian; F. J. Vernberg,New York,Academic Press
Journal Article,B. A. Seibel,2007,Journal of Experimental Biology,On the depth and scale of metabolic rate variation: scaling of oxygen consumption rates and enzymatic activity in the Class Cephalopoda (Mollusca),210,1,01-Nov,10.1242/jeb.02588,,,,
Journal Article,J. M. Shick; W. I. Brown; E. G. Dolliver; S. R. Kayar,1979,Physiological Zoology,"Oxygen-uptake in sea-anemones - effects of expansion, contraction, and exposure to air and the limitations of diffusion",52,1,50-62,10.1086/physzool.52.1.30159931,,,,
Journal Article,K. Shinozaki; K. Yoda; K. Hozumi; T. Kira,1964,Journal of the Japanese Society of Ecology,A quantitative analysis of plant form - the pipe model theory: 1.  Basic analyses,14,3,97-105,10.18960/seitai.14.3_97,,,,
Journal Article,S. E. Shumway,1979,"Comparative Biochemistry and Physiology, Part A - Molecular and Integrative Physiology","Effects of body size, oxygen tension and mode of life on the oxygen uptake rates of polychaetes",64,2,273-278,10.1016/0300-9629(79)90660-1,,,,
Journal Article,R. M. Sibly; V. Grimm; B. T. Martin; A. S. A. Johnston; K. Ku?akowska; C. J. Topping; P. Calow; J. Nabe-Nielsen; P. Thorbeck; D. L. DeAngelis,2013,Methods in Ecology and Evolution,Representing the acquisition and use of energy by individuals in agent-based models of animal populations,4,2,151-161,10.1111/2041-210x.12002,,,,
Journal Article,A. E. Sieg; M. P. O'Connor; J. N. McNair; B. W. Grant; S. J. Agosta; A. E. Dunham,2009,American Naturalist,"Mammalian metabolic allometry: do intraspecific variation, phylogeny, and regression models matter?",174,5,720-733,10.1086/606023,,,,
Journal Article,R. J. Smith,2009,American Journal of Physical Anthropology,Use and misuse of the reduced major axis for line-fitting,140,3,476-486,10.1002/ajpa.21090,,,,
Journal Article,V. Soria-Carrasco; J. Castresana,2012,"Proceedings of the Royal Society of London, Series B",Diversification rates and the latitudinal gradient of diversity in mammals,279,1745,4148-4155,10.1098/rspb.2012.1393,,,,
Journal Article,J. R. Speakman; E. Kr l,2010,Journal of Animal Ecology,Maximal heat dissipation capacity and hyperthermia risk: neglected key factors in the ecology of endotherms,79,4,726-746,10.1111/j.1365-2656.2010.01689.x,,,,
Journal Article,K. A. Stark; T. Clegg; J. R. Bernhardt; G. T. N; C. P. Kempes; V. M. Savage; M. I. O'Connor; S. Pawar,2025,American Naturalist,Toward a more dynamic metabolic theory of ecology to predict climate change effects on biological systems,205,3,285-305,10.1086/733197,,,,
Journal Article,J. C. Stegen; B. J. Enquist; R. Ferriere,2009,Ecology Letters,Advancing the metabolic theory of biodiversity,12,10,1001-1015,10.1111/j.1461-0248.2009.01358.x,,,,
Book,R. W. Sterner; J. J. Elser,2002,,,,,439,,Ecological stoichiometry: the biology of elements from molecules to the biosphere,,Princeton,Princeton University Press
Journal Article,A. C. Steyermark,2002,Zoology,A high standard metabolic rate constrains juvenile growth,105,,147-151,10.1078/0944-2006-00055,,,,
Journal Article,R. K. Suarez,2012,Comprehensive Physiology,Energy and metabolism,2,4,2527-2540,10.1002/cphy.c110009,,,,
Journal Article,R. K. Suarez; C.-A. Darveau,2005,Journal of Experimental Biology,Multi-level regulation and metabolic scaling,208,9,1627-1634,10.1242/jeb.01503,,,,
Journal Article,L. S. Svetlichny; G. Abolmasova; E. S. Hubareva; G. A. Finenko; L. Bat; A. E. Kideys,2004,Marine Biology,Respiration rates of Beroe ovata in the Black Sea,145,3,585-593,10.1007/s00227-004-1336-4,,,,
Journal Article,R. K. Swihart; N. A. Slade; B. J. Bergstrom,1988,Ecology,Relatng body size to the rate of home range use in mammals,69,2,393-399,10.2307/1940437,,,,
Journal Article,M. R. E. Symonds; M. A. Elgar,2002,Evolution,Phylogeny affects estimation of metabolic scaling in mammals,56,11,2330-2333,10.1111/j.0014-3820.2002.tb00156.x,,,,
Journal Article,N. Tamburello; I. C t ; N. K. Dulvy,2015,American Naturalist,Energy and the scaling of animal space use,186,2,196-211,10.1086/682070,,,,
Journal Article,T. M. Thomas; R. K. Scopes,1998,Biochemical Journal,The effects of temperature on the kinetics and stability of mesophilic and thermophilic 3-phosphoglycerate kinases,330,3,1087-1095,10.1042/bj3301087,,,,
Journal Article,S. Thomassen; H. U. Riisg rd,1995,Marine Ecology Progress Series,Growth and energetics of the sponge Halichondria panicea,128,01-Mar,239-246,10.3354/meps128239,,,,
Journal Article,A. Thommen; S. Werner; O. Frank; J. Philipp; O. Knittelfelder; Y. Quek; K. Fahmy; A. Shevchenko; B. M. Friedrich; F. J licher; J. C. Rink,2019,eLife,Body size-dependent energy storage causes Kleiber s law scaling of the metabolic rate in planarians,8,,article 38187,10.7554/eLife.38187,,,,
Journal Article,M. Tietje; A. Antonelli; W. J. Baker; w. L. Eiserhardt,2022,Proceedings of the National Academy of Sciences of the United States of America,Global variation in diversification rate and species richness are unlinked in plants,119,27,article e2120662119,10.1073/pnas.2120662119,,,,
Journal Article,D. A. Vasseur; K. S. McCann,2005,American Naturalist,A mechanistic approach for modeling temperature-dependent consumer-resource dynamics,166,2,184-198,10.1086/431285,,,,
Journal Article,W. C. E. P. Verberk; D. T. Bilton; P. Calosi; J. I. Spicer,2011,Ecology,Oxygen supply in aquatic ectotherms: partial pressure and solubility together explain biodiversity and size patterns,92,8,1565-1572,10.1890/10-2369.1,,,,
Journal Article,R. A. H. Vetter,1995,Journal of Comparative Physiology B,Ecophysiological studies on citrate-synthase: (I) enzyme regulation of selected crustaceans with regard to temperature adaptation,165,1,46-55,10.1007/BF00264685,,,,
Journal Article,A. E. Vinogradov,1995,Evolution,Nucleotypic effect in homeotherms: body-mass-corrected basal metabolic rate of mammals is related to genome size,49,6,1249-1259,10.2307/2410449,,,,
Journal Article,A. E. Vinogradov,1997,Evolution,Nucleotypic effect in homeotherms: body-mass independent resting metabolic rate of passerine birds is related to genome size,51,1,220-225,10.2307/2410975,,,,
Journal Article,I. G. Vladimirova; S. Y. Kleimenov; L. I. Radzinskaya,2003,Biology Bulletin,The relation of energy metabolism and body weight in bivalves (Mollusca: Bivalvia),30,4,392-399,10.1023/A:1024822225406,,,,
Journal Article,S. V. Vollmer; P. J. Edmunds,2000,Biological Bulletin,Allometric scaling in small colonies of the scleractinian coral Siderastrea siderea (Ellis and Solander),199,1,21-28,10.2307/1542703,,,,
Journal Article,G. E. Walsberg; T. C. M. Hoffman,2005,Journal of Experimental Biology,Direct calorimetry reveals large errors in respirometric estimates of energy expenditure,208,6,1035-1043,10.1242/jeb.01477,,,,
Journal Article,G. E. Walsberg; T. C. M. Hoffman,2006,Physiological and Biochemical Zoology,Using direct calorimetry to test the accuracy of indirect calorimetry in an ectotherm,79,4,830-835,10.1086/505514,,,,
Journal Article,P. J. Walsh; G. N. Somero,1981,Marine Biology,Temperature adaptation in sea anemones: physiological and biochemical variability in geographically separate populations of Metridium senile,62,1,25-34,10.1007/BF00396948,,,,
Journal Article,C. Wang; N. Kou; X. Liu; D. Yang,2021,Fishes,Oxygen consumption and ammonia excretion of Marphysa sanguinea (Polychaeta: Eunicidae) in relation to body mass and temperature,6,,article 52,10.3390/fishes6040052,,,,
Journal Article,O. H. Wearing; G. R. Scott,2022,"Proceedings of the Royal Society of London, Series B",Evolved reductions in body temperature and the metabolic costs of thermoregulation in deer mice native to high altitude,289,1983,article 20221553,10.1098/rspb.2022.1553,,,,
Journal Article,J. S. Weitz; S. A. Levin,2006,Ecology Letters,Size and scaling of predator-prey dynamics,9,5,548-557,10.1111/j.1461-0248.2006.00900.x,,,,
Journal Article,G. B. West; J. H. Brown,2004,Physics Today,Life's universal scaling laws,57 (September),9,36-42,10.1063/1.1809090,,,,
Journal Article,G. B. West; J. H. Brown,2005,Journal of Experimental Biology,The origin of allometric scaling laws in biology from genomes to ecosystems: towards a quantitative unifying theory of biological structure and organization,208,9,1575-1592,10.1242/jeb.01589,,,,
Journal Article,G. B. West; J. H. Brown; B. J. Enquist,1997,Science,A general model for the origin of allometric scaling laws in biology,276,5309,122-126,10.1126/science.276.5309.122,,,,
Journal Article,G. B. West; J. H. Brown; B. J. Enquist,1999,Science,The fourth dimension of life: fractal geometry and allometric scaling of organisms,284,5420,1677-1679,10.1126/science.284.5420.1677,,,,
Journal Article,G. B. West; J. H. Brown; B. J. Enquist,1999,Nature,A general model for the structure and allometry of plant vascular systems,400,6745,664-667,10.1038/23251,,,,
Book Section,G. B. West; J. H. Brown; B. J. Enquist,2000,,The origin of universal scaling laws in biology,,,87-112,,Scaling in biology,J. H. Brown; G. B. West,Oxford,Oxford University Press
Journal Article,G. B. West; J. H. Brown; B. J. Enquist,2001,Nature,A general model for ontogenetic growth,413,6856,628-631,10.1038/35098076,,,,
Journal Article,G. B. West; B. J. Enquist; J. H. Brown,2009,Proceedings of the National Academy of Sciences of the United States of America,A general quantitative theory of forest structure and dynamics,106,17,7040-7045,10.1073/pnas.0812294106,,,,
Journal Article,G. B. West; W. H. Woodruff; J. H. Brown,2002,Proceedings of the National Academy of Sciences of the United States of America,Allometric scaling of metabolic rate from molecules and mitochondria to cells and mammals,99,Supplement 1,2473-2478,10.1073/pnas.012579799,,,,
Journal Article,C. R. White,2011,"Comparative Biochemistry and Physiology, Part A",Allometric estimation of metabolic rates in animals,158,3,346-357,10.1016/j.cbpa.2010.10.004,,,,
Journal Article,C. R. White; T. M. Blackburn; G. R. Martin; P. J. Butler,2007,"Proceedings of the Royal Society of London, Series B","Basal metabolic rate of birds is associated with habitat temperature and precipitation, not primary productivity",274,1607,287-293,10.1098/rspb.2006.3727,,,,
Journal Article,C. R. White; T. M. Blackburn; R. S. Seymour,2009,Evolution,Phylogenetically informed analysis of the allometry of mammalian basal metabolic rate supports neither geometric nor quarter-power scaling,63,10,2658-2667,10.1111/j.1558-5646.2009.00747.x,,,,
Journal Article,C. R. White; N. F. Phillips; R. S. Seymour,2006,Biology Letters,The scaling and temperature dependence of vertebrate metabolism,2,1,125-127,10.1098/rsbl.2005.0378,,,,
Journal Article,C. R. White; R. S. Seymour,2005,Journal of Experimental Biology,Allometric scaling of mammalian metabolism,208,9,1611-1619,10.1242/jeb.01501,,,,
Book Section,E. P. White; X. Xiao; N. J. B. Isaac; R. M. Sibly,2012,,Methodological tools,,,Sep-20,,Metabolic ecology: a scaling approach,R. M. Sibly; J. H. Brown; A. Kodric-Brown,Chichester,John Wiley & Sons
Journal Article,W. Wieser,1994,Biological Reviews,Cost of growth in cells and organisms: general rules and comparative aspects,69,1,Jan-33,10.1111/j.1469-185X.1994.tb01484.x,,,,
Journal Article,C. Wilkinson; U. Brose; A. Dyer; M. R. Hirt; R. Ryser,2025,Ecology Letters,A mechanistic approach to animal dispersal   quantifying energetics and maximum distances,28,2,e70085,10.1111/ele.70085,,,,
Journal Article,D. F. Wilson,2013,Journal of Applied Physiology,Regulation of cellular metabolism: programming and maintaining metabolic homeostasis,115,11,1583-1588,10.1152/japplphysiol.00894.2013,,,,
Journal Article,G. G. Winberg,1956,Fisheries Research Board of Canada Translation Series,"Rates of metabolism and food requirements of fish. (Original title: Intensivnost obmena i pishchevye potrebnosti ryb, published in Nauchnye Trudy Belorusskovo Gosudarstvennovo Universiteta imeni. V. I, Lenina, Minsk, 253 pp., 1956)",194,,1-202,,,,,
Journal Article,S. D. Wright; H. A. Ross; D. J. Keeling; P. D. McBride; L. N. Gillman,2011,Evolutionary Ecology,Thermal energy and the rate of genetic evolution in marine fishes,25,2,525-530,10.1007/s10682-010-9416-z,,,,
Journal Article,X. Xiao; E. P. White; M. B. Hooten; S. L. Durham,2011,Ecology,On the use of log-transformation vs. nonlinear regression for analyzing biological power laws,92,10,1887-1894,10.1890/11-0538.1,,,,
Journal Article,D. Xiong; M. Nadal,2020,The Plant Journal,Linking water relations and hydraulics with photosynthesis,101,4,800-815,10.1111/tpj.14595,,,,
Journal Article,G. Yvon-Durocher; J. M. Caffrey; A. Cescatti; M. Dossena; P. del Giorgia; J. M. Gasol; J. M. Montoya; J. Pumpanen; P. A. Staehr; M. Trimmer; G. Woodward; A. P. Allen,2012,Nature,Reconciling the temperature dependence of respiration across timescales and ecosystem types,487,7408,472-476,10.1038/nature11205,,,,
Journal Article,E. Zeuthen,1947,"Comptes rendus des travaux du Laboratoire Carsberg, Serie ch mique",Body size and metabolic rate in the animal kingdom,26,,17-165,,,,,
Journal Article,E. Zeuthen,1953,Quarterly Review of Biology,Oxygen uptake as related to body size in organisms,28,1,01-Dec,10.1086/399308,,,,
