# id: GB/NERC/BAS/PDC/02058
# title: A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species
# summary: Data on the resting metabolic rate, body mass and body temperature data for a range of vertebrate and invertebrate taxa culled from the literature for a comprehensive study of scaling relationships.
# : The data are global in extent.
# : Funding acknowledgement: 
# : BAS Core Funding
# keywords: mass,metabolic rate,scaling,temperature
# citation: Clarke, A., & Johnston, N.M. (2025). A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/8d9ffd4a-16c0-4d48-9fc9-02988676ef78
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: Data for mammals, birds, reptiles, echinoderms, cephalopods and cnidarians were from previous compilations available in the published scientific literature.  Data for fish were compiled from published studies, validated and collated.
# comment: With the exception of the data for teleost fish, data were extracted from the literature, relying on quality control by the original compiler.  The fish data were edited to exclude data where fish were active, or where the range of body mass was too small for scaling parameters to be determined with precision.
# : The data have not been processed other than converting original units to SI where appropriate. For publication the data were analysed using Minitab (version 16) and R (version 4.4.2).
# institution: British Antarctic Survey
# authors: Andrew Clarke,Nadine M. Johnston
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# [a]: unique number for each data record
# [b]: live body mass (g)
# [c]: body temperature (Celsius)
# [d]: metabolic rate
# [e]: metabolic rate units (W or mW)
# [f]: score indicating which data were used when there are more than one record for a species (1 = used, 0 = not used)
# missing values:*
Ref [a],Phylum,Class,Species,Mb [b],Tb [c],MR [d],Unit (MR) [e],Usage [f]
672,Chordata,Aves,Zonotrichia albicollis,20.2,40.5,0.272094,W,1
673,Chordata,Aves,Carpodacus mexicanus,20.4,41.035,0.299231828,W,1
674,Chordata,Aves,Amadina erythrocephala,21.5,39.5,0.26411976,W,1
675,Chordata,Aves,Pooectes gramineus,21.5,39.6,0.2027235,W,1
676,Chordata,Aves,Sayornis phoebe,21.6,41.2,0.33168528,W,1
677,Chordata,Aves,Meliphaga (Lichenostomus) virescens,25,39,0.341615284,W,1
678,Chordata,Aves,Zonotrichia leucophrys,26.1,40.9,0.329066712,W,1
679,Chordata,Aves,Miafra erythrocephalus,27.3,40.8,0.402089552,W,1
680,Chordata,Aves,Carpodacus cassinii,27.4,40.414,0.327873471,W,1
681,Chordata,Aves,Sialia mexicana,27.5,40.4,0.407450746,W,1
682,Chordata,Aves,Cardinalis sinuata,32,40.9,0.344832,W,1
683,Chordata,Aves,Zonotrichia querula,33.3,41.3,0.434197368,W,1
684,Chordata,Aves,Myiarchus crinitus,33.9,41.2,0.370785996,W,1
685,Chordata,Aves,Colius colius,35.1,36.3,0.171152514,W,1
686,Chordata,Aves,Psittirostra bailleui,36,39.4,0.447110715,W,1
687,Chordata,Aves,Icterus galbula,37.5,40,0.48492,W,1
688,Chordata,Aves,Geopelia cuneata,39,38.1,0.256533134,W,1
689,Chordata,Aves,Cardinalis cardinalis,41.3,40.5,0.438373068,W,1
690,Chordata,Aves,Scardafella inca,42,40.2,0.25118856,W,1
691,Chordata,Aves,Agelaius phoeniceus,43.1,40.964,0.465832005,W,1
692,Chordata,Aves,Colius striatus,51.2,36,0.229244314,W,1
693,Chordata,Aves,Geopilia placida,52,38.9,0.342580299,W,1
694,Chordata,Aves,Chordeiles minor minor,72.5,37,0.429693,W,1
695,Chordata,Aves,Geophaps plumifera,89,40.5,0.4076022,W,1
696,Chordata,Aves,Ptilinopus melanospila,94,41.75800995,0.490093552,W,1
697,Chordata,Aves,Coturnix pectoralis,95.8,41.6,0.61940448,W,1
698,Chordata,Aves,Coturnix coturnix,97.5,39.555,0.997342925,W,1
699,Chordata,Aves,Otus trichopsis,99.8,37,0.354896784,W,1
700,Chordata,Aves,Falco sparverius,116,40.2,0.638739519,W,1
701,Chordata,Aves,Ptilinopus superbus,120.4,38.1,0.748765803,W,1
702,Chordata,Aves,Chalcophaps indica,124,39.3,0.765310448,W,1
703,Chordata,Aves,Lophortyx gambelii,126.1,41.235,0.730130293,W,1
704,Chordata,Aves,Pica nuttalli,151.9,39.4,1.417484368,W,1
705,Chordata,Aves,Pica pica,158.9,39.5,1.153123355,W,1
706,Chordata,Aves,Ocyphaps lophotes,187,38.7,1.047041194,W,1
707,Chordata,Aves,Phaps elegans,190,39,1.19474209,W,1
708,Chordata,Aves,Geococcyx californianus,284.7,39.8,1.411246512,W,1
709,Chordata,Aves,Phaps chalcoptera,304,39.4,1.475936716,W,1
710,Chordata,Aves,Podargus strigoides,341,37.8,1.08401172,W,1
711,Chordata,Aves,Pterocles orientalis,386.4,40.205,1.879324107,W,1
712,Chordata,Aves,Leucosarcia melanoleuca,445,38.7,1.635432239,W,1
713,Chordata,Aves,Columba leucomela,456,38.5,2.351687761,W,1
714,Chordata,Aves,Strix occidentalis lucida,571,39.8,2.58430032,W,1
715,Chordata,Aves,Bonusa umbellus,644,41.5,2.0819232,W,1
716,Chordata,Aves,Buteo lineatus,658,40.3,2.036380286,W,1
717,Chordata,Aves,Bubo virginianus,1000,39.9,3.17892,W,1
718,Chordata,Aves,Larus argentatus,1000,42,4.635931701,W,1
719,Chordata,Aves,Anhinga anhinga,1040,39.1,3.081936,W,1
720,Chordata,Aves,Phalacrocorax auritus,1330,40.2,5.3028696,W,1
721,Chordata,Aves,Pandion haliaetus,1495,39,5.327881179,W,1
722,Chordata,Aves,Spheniscus humboldti,3870,39,9.159421294,W,1
723,Chordata,Reptilia,Acanthodactylus boskianus,11.64,30,14.114,mW,1
724,Chordata,Reptilia,Acanthodactylus erythrurus,9,30,12.125,mW,1
725,Chordata,Reptilia,Acanthodactylus opheodurus,3.8,30,4.259,mW,1
726,Chordata,Reptilia,Acanthodactylus pardalis,9.7,35,24.568,mW,1
727,Chordata,Reptilia,Acanthodactylus schmidti,14.5,30,11.799,mW,1
728,Chordata,Reptilia,Acanthodactylus schreiberi,10.9,35,14.626,mW,1
729,Chordata,Reptilia,Acanthodactylus scutellatus,6.6,35,12.804,mW,1
730,Chordata,Reptilia,Acanthophis praelongus,105.5,30,26.721,mW,1
731,Chordata,Reptilia,Acontias meleagris,7.3,33,3.659,mW,1
732,Chordata,Reptilia,Boa dumerili,2548.5,30,259.884,mW,1
733,Chordata,Reptilia,Acrochordus aradurae,1047.7,30,132.682,mW,1
734,Chordata,Reptilia,Alligator mississippiensis,1287,25,254.191,mW,1
735,Chordata,Reptilia,Amblyrhynchus cristatus,489,35,263.522,mW,1
736,Chordata,Reptilia,Pogona barbata,373,30,196.788,mW,1
737,Chordata,Reptilia,Ctenophorus nuchalis,24.65,40,32.014,mW,1
738,Chordata,Reptilia,Coleonyx switaki,9.48,25,3.770,mW,1
739,Chordata,Reptilia,Anguis fragilis,12.067,30,3.830,mW,1
740,Chordata,Reptilia,Anniella pulchra,4.8466,25,1.706,mW,1
741,Chordata,Reptilia,Ctenotus acutus,4.3,30,6.720,mW,1
742,Chordata,Reptilia,Anolis bonariensis,12,33,9.118,mW,1
743,Chordata,Reptilia,Anolis carolinensis,4.5,30,4.559,mW,1
744,Chordata,Reptilia,Anolis limifrons,1.4,30,1.826,mW,1
745,Chordata,Reptilia,Antaresia childreni,331.7,30,130.490,mW,1
746,Chordata,Reptilia,Antaresia stimsoni,349.9,30,107.480,mW,1
747,Chordata,Reptilia,Aspidites melanocephalus,1027.5,30,404.215,mW,1
748,Chordata,Reptilia,Blanus cinereus,2.4,30,2.276,mW,1
749,Chordata,Reptilia,Boa constrictor,7815.5,30,679.165,mW,1
750,Chordata,Reptilia,Bunopus tuberculatus,2.5,30,10.077,mW,1
751,Chordata,Reptilia,Candoia carinata,521.9,30,56.104,mW,1
752,Chordata,Reptilia,Chalcides ocellatus,22.06,33,11.175,mW,1
753,Chordata,Reptilia,Chelydra serpentina,3473,20,215.234,mW,1
754,Chordata,Reptilia,Chironius quadricarinatus,61,20,11.177,mW,1
755,Chordata,Reptilia,Cnemidophorus murinus,85,40,83.826,mW,1
756,Chordata,Reptilia,Cnemidophorus tigris,18,30,13.580,mW,1
757,Chordata,Reptilia,Coleonyx variegatus,3.43,25,2.708,mW,1
758,Chordata,Reptilia,Coluber constrictor,262,35,90.363,mW,1
759,Chordata,Reptilia,Corallus caninus,556,30,79.511,mW,1
760,Chordata,Reptilia,Corallus hortulanus,802,30,101.304,mW,1
761,Chordata,Reptilia,Cosymbotus platyurus,3.5,27,1.886,mW,1
762,Chordata,Reptilia,Crotalus viridis,301,35,116.790,mW,1
763,Chordata,Reptilia,Crotaphytus collaris,30,30,29.101,mW,1
764,Chordata,Reptilia,Ctenotus labillardieri,2.8,20,1.077,mW,1
765,Chordata,Reptilia,Hydrodynastes gigas,2680,20,462.161,mW,1
766,Chordata,Reptilia,Diadophis punctatus,4.4,30,3.130,mW,1
767,Chordata,Reptilia,Diplometopon zarudnyi,6.34,30,3.792,mW,1
768,Chordata,Reptilia,Dipsas albifrons,22,20,4.268,mW,1
769,Chordata,Reptilia,Dipsosaurus dorsalis,40.36,40,39.150,mW,1
770,Chordata,Reptilia,Egernia cunninghami,261,30,122.368,mW,1
771,Chordata,Reptilia,Pantheropsis gutattus,800,25,487.166,mW,1
772,Chordata,Reptilia,Epicrates cenchria,416,30,65.523,mW,1
773,Chordata,Reptilia,Gonglyophis colubrinua,85.85,30,18.031,mW,1
774,Chordata,Reptilia,Scincopus fasciatus,7,30,9.054,mW,1
775,Chordata,Reptilia,Plestiodon inexpectatus,9.6,30,7.915,mW,1
776,Chordata,Reptilia,Plestiodon obsoletus,30,30,27.484,mW,1
777,Chordata,Reptilia,Eunectes murinus,1130,20,127.881,mW,1
778,Chordata,Reptilia,Eunectes notaeus,14400,20,1164.024,mW,1
779,Chordata,Reptilia,Homonota gaufichaudii,0.805,35,1.037,mW,1
780,Chordata,Reptilia,Gekko gecko,61.5,30,31.949,mW,1
781,Chordata,Reptilia,Elgaria multicarinata,29,30,26.568,mW,1
782,Chordata,Reptilia,Gonatodes antillensis,1.8,34,1.610,mW,1
783,Chordata,Reptilia,Helicops modestus,196,25,42.250,mW,1
784,Chordata,Reptilia,Hemidactylus frenatus,2,27,1.132,mW,1
785,Chordata,Reptilia,Iguana iguana,795,30,347.025,mW,1
786,Chordata,Reptilia,Xantusia riversiana,19,30,10.751,mW,1
787,Chordata,Reptilia,Podarcis siculus,7,30,5.281,mW,1
788,Chordata,Reptilia,Lacerta trilineata,54,30,36.085,mW,1
789,Chordata,Reptilia,Lacerta agilis,8.4,30,16.296,mW,1
790,Chordata,Reptilia,Lacerta viridis,20,30,11.856,mW,1
791,Chordata,Reptilia,Zootoca vivipara,3.19,30,5.759,mW,1
792,Chordata,Reptilia,Lampropeltis getula,1217,26,183.636,mW,1
793,Chordata,Reptilia,Liophis miliaris,401,25,103.727,mW,1
794,Chordata,Reptilia,Liophis poecilogyrus,42,20,9.054,mW,1
795,Chordata,Reptilia,Lepidophyma gaigeae,5,25,2.102,mW,1
796,Chordata,Reptilia,Lepidophyma smithi,25,25,6.736,mW,1
797,Chordata,Reptilia,Liasis fuscus,1306.9,30,154.943,mW,1
798,Chordata,Reptilia,Liasis olivaceus,3323.2,30,590.988,mW,1
799,Chordata,Reptilia,Lichanura trivirgata,182,30,32.654,mW,1
800,Chordata,Reptilia,Mastigodryas bifossatus,735,20,170.319,mW,1
801,Chordata,Reptilia,Masticophis flagellum,262,35,1200.130,mW,1
802,Chordata,Reptilia,Morelia spilota,1516.5,30,433.138,mW,1
803,Chordata,Reptilia,Natrix maura,22.5,30,7.794,mW,1
804,Chordata,Reptilia,Natrix natrix,82.5,30,60.483,mW,1
805,Chordata,Reptilia,Nerodia rhombifer,238,30,121.845,mW,1
806,Chordata,Reptilia,Ophisaurus ventralis,32.185,25,6.695,mW,1
807,Chordata,Reptilia,Oxyrhopus trigeminus,98,20,18.484,mW,1
808,Chordata,Reptilia,Pelamis platura,116,30,37.507,mW,1
809,Chordata,Reptilia,Philodryas olfersii,176,20,36.990,mW,1
810,Chordata,Reptilia,Philodryas patagoniensis,388,20,106.638,mW,1
811,Chordata,Reptilia,Tropidodryas serra,135,20,25.463,mW,1
812,Chordata,Reptilia,Phrynosoma cornutum,35,35,31.310,mW,1
813,Chordata,Reptilia,Phrynosoma douglasii,28,35,25.803,mW,1
814,Chordata,Reptilia,Phrynosoma mcallii,16,30,14.658,mW,1
815,Chordata,Reptilia,Physignathus lesueurii,504,30,217.284,mW,1
816,Chordata,Reptilia,Pituophis melanoleucus,548,30,206.722,mW,1
817,Chordata,Reptilia,Pitupophis catenifer,548,30,118.127,mW,1
818,Chordata,Reptilia,Podarcis hispanicus,3.43,30,4.270,mW,1
819,Chordata,Reptilia,Podarcis lilfordi,7.4,30,13.559,mW,1
820,Chordata,Reptilia,Podarcis muralis,5.5,30,13.901,mW,1
821,Chordata,Reptilia,Psammodromus algirus,5.2,30,9.640,mW,1
822,Chordata,Reptilia,Trachemys scripta,305,30,51.446,mW,1
823,Chordata,Reptilia,Pseudonaja nuchalis,214.1,30,77.304,mW,1
824,Chordata,Reptilia,Ptyodactylus hasselquistii,8.5,30,6.688,mW,1
825,Chordata,Reptilia,Python curtus,2373.5,30,246.516,mW,1
826,Chordata,Reptilia,Python molurus,23162.25,30,1959.695,mW,1
827,Chordata,Reptilia,Python regius,883.5,30,109.164,mW,1
828,Chordata,Reptilia,Python reticulatus,14326,30,1802.661,mW,1
829,Chordata,Reptilia,Python sebae,16140,30,1544.867,mW,1
830,Chordata,Reptilia,Salvadora hexalepis,65,30,37.480,mW,1
831,Chordata,Reptilia,Sauromalus hispidus,574,35,235.090,mW,1
832,Chordata,Reptilia,Sauromalus obesus,150,30,58.201,mW,1
833,Chordata,Reptilia,Sceloporos occidentalis,10.105,40,441.092,mW,1
834,Chordata,Reptilia,Sceloporus graciosus,5,30,4.419,mW,1
835,Chordata,Reptilia,Sceloporus occidentalis,10.105,31,12.253,mW,1
836,Chordata,Reptilia,Sceloporus olivaceus,21,25,18.899,mW,1
837,Chordata,Reptilia,Sceloporus undulatus,3.8,30,5.468,mW,1
838,Chordata,Reptilia,Sceloporus variabilis,12.215,16,20.406,mW,1
839,Chordata,Reptilia,Scelotes gronovii,1.1,33,1.346,mW,1
840,Chordata,Reptilia,Scincella lateralis,1,30,1.671,mW,1
841,Chordata,Reptilia,Scincus mitranus,14.6,30,8.576,mW,1
842,Chordata,Reptilia,Sibynomorphus mikanii,11,20,7.291,mW,1
843,Chordata,Reptilia,Spalerosophis cliffordi,300,37,412.259,mW,1
844,Chordata,Reptilia,Sphaerodactylus beattyi,0.4,30,0.485,mW,1
845,Chordata,Reptilia,Sphaerodactylus cinereus,0.4,27,0.216,mW,1
846,Chordata,Reptilia,Sphaerodactylus macrolepis,0.5,30,0.701,mW,1
847,Chordata,Reptilia,Sphenodon punctatus,430,25,71.835,mW,1
848,Chordata,Reptilia,Chalcides sepsoides,7.4,30,3.150,mW,1
849,Chordata,Reptilia,Storeria dekayi,7.2,30,6.286,mW,1
850,Chordata,Reptilia,Tarentola mauritanica,6.6,30,4.481,mW,1
851,Chordata,Reptilia,Terrapene ornata ornata,354,30,28.425,mW,1
852,Chordata,Reptilia,Thamnodynastes strigatus,55,20,12.152,mW,1
853,Chordata,Reptilia,Thamnophis butleri,19.02,25,6.309,mW,1
854,Chordata,Reptilia,Thamnophis proximus,31,30,25.059,mW,1
855,Chordata,Reptilia,Thamnophis sirtalis,25,25,14.820,mW,1
856,Chordata,Reptilia,Tiliqua rugosa,508.6,35,394.682,mW,1
857,Chordata,Reptilia,Tiliqua scincoides,493,30,239.110,mW,1
858,Chordata,Reptilia,Trogonophis weigmanni,4.985,25,1.036,mW,1
859,Chordata,Reptilia,Uromastyx aegyptia,248.146,35,93.956,mW,1
860,Chordata,Reptilia,Uta mearnsi,14,30,12.826,mW,1
861,Chordata,Reptilia,Uta stansburiana,3.625,37,5.861,mW,1
862,Chordata,Reptilia,Varanus albigularis,963,35,804.389,mW,1
863,Chordata,Reptilia,Varanus bengalensis,3440,30,945.446,mW,1
864,Chordata,Reptilia,Varanus exanthematicus,3836,30,1602.877,mW,1
865,Chordata,Reptilia,Varanus giganteus,2502,34.7,1284.956,mW,1
866,Chordata,Reptilia,Varanus gilleni,27.5,37,28.899,mW,1
867,Chordata,Reptilia,Varanus gouldi,674,30,279.678,mW,1
868,Chordata,Reptilia,Varanus mertensi,904,35,379.989,mW,1
869,Chordata,Reptilia,Varanus panoptes,1427,35.3,922.812,mW,1
870,Chordata,Reptilia,Varanus varius,4410,30,1188.275,mW,1
871,Chordata,Reptilia,Varanus rosenbergi,1269.3,35,902.914,mW,1
872,Chordata,Reptilia,Vipera berus,63,25,30.556,mW,1
873,Chordata,Reptilia,Xantusia henshawi,3.5,25,1.980,mW,1
874,Chordata,Reptilia,Xantusia vigilis,1.5,30,1.395,mW,1
875,Chordata,Reptilia,Xenodon guentheri,50,20,9.431,mW,1
876,Chordata,Reptilia,Waglerophis merremii,502,20,116.327,mW,1
877,Chordata,Reptilia,Xenodon neuwiedii,53,20,10.568,mW,1
878,Chordata,Osteichthyes,Anguilla anguillai,245,18,17.38738665,mW,0
879,Chordata,Osteichthyes,Anguilla anguillai,245,20,56.44819334,mW,1
880,Chordata,Osteichthyes,Anguilla anguillai,245,24,73.2013513,mW,0
881,Chordata,Osteichthyes,Anguilla anguillai,245,27,92.92354817,mW,0
882,Chordata,Osteichthyes,Anguilla rostrata,3.51,15,1.155937647,mW,0
883,Chordata,Osteichthyes,Anguilla rostrata,3.865,20,2.435326328,mW,1
884,Chordata,Osteichthyes,Anguilla rostrata,1.39,23,2.048043927,mW,0
885,Chordata,Osteichthyes,Anguilla rostrata,2.71,25,3.657834884,mW,0
886,Chordata,Osteichthyes,Arnoglossus thori,1.9,11,0.768173266,mW,0
887,Chordata,Osteichthyes,Arnoglossus thori,1.1,19,0.701901509,mW,1
888,Chordata,Osteichthyes,Artediellus atlanticus,26.05,0,1.436812381,mW,1
889,Chordata,Osteichthyes,Artediellus uncinatus,288.55,-1.5,27.95734903,mW,0
890,Chordata,Osteichthyes,Artediellus uncinatus,2.45,0,0.172855874,mW,1
891,Chordata,Osteichthyes,Barbus aeneus,166.45,10,18.40131977,mW,0
892,Chordata,Osteichthyes,Barbus aeneus,166.45,15,29.72120047,mW,1
893,Chordata,Osteichthyes,Barbus aeneus,166.45,20,37.14275525,mW,0
894,Chordata,Osteichthyes,Barbus aeneus,166.45,25,73.32984739,mW,0
895,Chordata,Osteichthyes,Bathylagus antarcticus,27.15,0.5,2.127260247,mW,1
896,Chordata,Osteichthyes,Boreogadus saida,61.38,-1.5,10.27498353,mW,1
897,Chordata,Osteichthyes,Brachirus sp,50.75,28,19.85516971,mW,1
898,Chordata,Osteichthyes,Buglossidium luteum,1.4,11,0.32580306,mW,0
899,Chordata,Osteichthyes,Buglossidium luteum,1.08,19,0.703233845,mW,1
900,Chordata,Osteichthyes,Carassius auratus,230,10,12.33334585,mW,0
901,Chordata,Osteichthyes,Carassius auratus,196,20,209.3462066,mW,1
902,Chordata,Osteichthyes,Carassius auratus,167.5,30,39.23329512,mW,0
903,Chordata,Osteichthyes,Carassius auratus,201,35,88.9142251,mW,0
904,Chordata,Osteichthyes,Catostomus commersonii,151.5,10,11.37860847,mW,0
905,Chordata,Osteichthyes,Catostomus commersonii,162.5,20,38.58690323,mW,1
906,Chordata,Osteichthyes,Catostomus commersonii,161,30,60.78591516,mW,0
907,Chordata,Osteichthyes,Chaenocephalus aceratus,1363,1,138.9572824,mW,1
908,Chordata,Osteichthyes,Cirrhinus mrigala,101.5,21.5,33.65021677,mW,0
909,Chordata,Osteichthyes,Cirrhinus mrigala,101.5,30.5,57.34091351,mW,1
910,Chordata,Osteichthyes,Colossoma macropomum,1043.29,25,325.2183306,mW,1
911,Chordata,Osteichthyes,Colossoma macropomum,987.675,30,481.9002075,mW,0
912,Chordata,Osteichthyes,Colossoma macropomum,1087.75,35,528.0899629,mW,0
913,Chordata,Osteichthyes,Crenimugil labrosus,11.5,18,7.450427365,mW,1
914,Chordata,Osteichthyes,Cynoglossus sp,75.75,28,33.58066674,mW,1
915,Chordata,Osteichthyes,Cyprinis carpio,269,10,16.96227863,mW,1
916,Chordata,Osteichthyes,Cyprinis carpio,242.5,20,40.43320055,mW,0
917,Chordata,Osteichthyes,Cyprinis carpio,227.5,30,80.86364147,mW,0
918,Chordata,Osteichthyes,Cyprinis carpio,225,35,85.36976638,mW,0
919,Chordata,Osteichthyes,Cyprinus carpio,724.5,25.1,234.7737196,mW,0
920,Chordata,Osteichthyes,Electrona antarctica,7.4,0.5,1.572852373,mW,1
921,Chordata,Osteichthyes,Eleginus gracilis,150,2.5,26.93416067,mW,0
922,Chordata,Osteichthyes,Eleginus gracilis,150,7,44.41634306,mW,1
923,Chordata,Osteichthyes,Eleginus gracilis,150,12,62.40997461,mW,0
924,Chordata,Osteichthyes,Gadus macrocephalus,1208.5,6.5,226.6565987,mW,1
925,Chordata,Osteichthyes,Gadus morhua,1550,3,308.9792019,mW,0
926,Chordata,Osteichthyes,Gadus morhua,1674.5,10,590.2450639,mW,0
927,Chordata,Osteichthyes,Gadus morhua,510,12,153.2587215,mW,1
928,Chordata,Osteichthyes,Gambusia affinis,0.606,28,4.881490855,mW,1
929,Chordata,Osteichthyes,Glossogobius giuris,14.15,22,9.182660625,mW,1
930,Chordata,Osteichthyes,Gymnelis viridis,73.548,-1.5,4.515065741,mW,1
931,Chordata,Osteichthyes,Gymnocanthus tricuspis,288.55,-1.5,27.95734903,mW,1
932,Chordata,Osteichthyes,Gymnoscopelus oplsthopterus,23.55,0.5,2.638227293,mW,1
933,Chordata,Osteichthyes,Gymnoscopelus braueri,11.4,0.5,1.580274919,mW,1
934,Chordata,Osteichthyes,Harpagifer georgianus,4.085,3,1.042429484,mW,1
935,Chordata,Osteichthyes,Hippoglossoides platessoides,515,3,31.78832893,mW,1
936,Chordata,Osteichthyes,Icelus bicornis,288.55,-1.5,27.95734903,mW,1
937,Chordata,Osteichthyes,Icelus spatula,288.55,-1.5,27.95734903,mW,1
938,Chordata,Osteichthyes,Ictalurus nebucosus,115,10,14.60060877,mW,1
939,Chordata,Osteichthyes,Kuhlia sandvicensis,47.5,23,11.37944823,mW,1
940,Chordata,Osteichthyes,Limanda limanda,5.045,10,7.101411209,mW,1
941,Chordata,Osteichthyes,Liparis keofoedi,1.285,-1.5,0.142074804,mW,1
942,Chordata,Osteichthyes,Liparius atlanticus,1.285,-1.5,0.142074804,mW,1
943,Chordata,Osteichthyes,Liza dumerili,12.55,18,6.252754048,mW,0
944,Chordata,Osteichthyes,Liza dumerili,42.35,18,16.4304099,mW,1
945,Chordata,Osteichthyes,Liza dumerili,21.05,23,16.73917283,mW,0
946,Chordata,Osteichthyes,Liza dumerili,108.25,23,64.21109027,mW,0
947,Chordata,Osteichthyes,Liza richardsonii,19.5,18,11.05904457,mW,0
948,Chordata,Osteichthyes,Liza richardsonii,29.4,23,21.65416152,mW,1
949,Chordata,Osteichthyes,Lycodes eudipleurostictus,114.7,0,4.616632347,mW,1
950,Chordata,Osteichthyes,Lycodes mucosus,73.548,-1.5,4.515065741,mW,1
951,Chordata,Osteichthyes,Lycodes pallidus,34.2,0,1.278746015,mW,1
952,Chordata,Osteichthyes,Lycodes reticulatus,190.15,0,18.55773072,mW,1
953,Chordata,Osteichthyes,Lycodes seminudus,134.5,0,6.4767874,mW,1
954,Chordata,Osteichthyes,Lycodes turneri,73.548,-1.5,4.515065741,mW,1
955,Chordata,Osteichthyes,Mugil cephalas,11.75,18,7.741071876,mW,0
956,Chordata,Osteichthyes,Mugil cephalas,24.65,18,10.38970504,mW,1
957,Chordata,Osteichthyes,Mugil cephalas,56.45,23,38.78496427,mW,0
958,Chordata,Osteichthyes,Mugil cephalas,52.1,23,34.86773965,mW,0
959,Chordata,Osteichthyes,Mystus cavensius,30,29,27.56738457,mW,1
960,Chordata,Osteichthyes,Myxocephalus scorpius,288.55,-1.5,47.1771705,mW,1
961,Chordata,Osteichthyes,Notothenia angustifrons,22.06,3,9.323623646,mW,1
962,Chordata,Osteichthyes,Notothenia neglecta,925.45,0,55.24357103,mW,1
963,Chordata,Osteichthyes,Notothenia neglecta,1015,0.6,202.8214719,mW,0
964,Chordata,Osteichthyes,Notothenia nudifrons,18.09,3,5.554552658,mW,1
965,Chordata,Osteichthyes,Notothenia rossii,600,0.6,88.01165935,mW,1
966,Chordata,Osteichthyes,Notothenia rossii,354.71,3,52.41345378,mW,0
967,Chordata,Osteichthyes,Oreochromis alcalicus grahami,5.515,37,14.24675961,mW,1
968,Chordata,Osteichthyes,Oreochromis niltoicus,869.1,25,150.6577808,mW,1
969,Chordata,Osteichthyes,Oronchynchus nerka,1002.5,5,118.9106282,mW,0
970,Chordata,Osteichthyes,Oronchynchus nerka,1002.5,15,203.9835068,mW,1
971,Chordata,Osteichthyes,Oronchynchus nerka,1000.5,20,312.0681355,mW,0
972,Chordata,Osteichthyes,Pagothenia borchgrevinki,71.5,0,14.3465728,mW,1
973,Chordata,Osteichthyes,Platichthys flesus,93,2,8.801584077,mW,0
974,Chordata,Osteichthyes,Platichthys flesus,403,5,29.48646149,mW,0
975,Chordata,Osteichthyes,Platichthys flesus,210.5,6,27.45014165,mW,0
976,Chordata,Osteichthyes,Platichthys flesus,206.5,10,49.03188095,mW,0
977,Chordata,Osteichthyes,Platichthys flesus,164,14,51.38607237,mW,1
978,Chordata,Osteichthyes,Platichthys flesus,282.5,15,42.19525069,mW,0
979,Chordata,Osteichthyes,Platichthys flesus,106.5,18,47.72705996,mW,0
980,Chordata,Osteichthyes,Platichthys flesus,107,22,51.04050902,mW,0
981,Chordata,Osteichthyes,Pleuronectes platessa,123.5,2,12.18397059,mW,0
982,Chordata,Osteichthyes,Pleuronectes platessa,156.5,6,21.07707676,mW,0
983,Chordata,Osteichthyes,Pleuronectes platessa,5.025,10,3.689428031,mW,0
984,Chordata,Osteichthyes,Pleuronectes platessa,20.5,10,7.782078528,mW,0
985,Chordata,Osteichthyes,Pleuronectes platessa,164,14,39.02553733,mW,1
986,Chordata,Osteichthyes,Pleuronectes platessa,104,18,31.57914101,mW,0
987,Chordata,Osteichthyes,Pleuronectes platessa,97.5,22,42.6162209,mW,0
988,Chordata,Osteichthyes,Pogonophryne scotti,134,-1,12.5480716,mW,1
989,Chordata,Osteichthyes,Pseudocrenilabrius  multicolor,2.25,27,2.10956663,mW,1
990,Chordata,Osteichthyes,Salmo gairdneri,91.5,5,20.07242886,mW,1
991,Chordata,Osteichthyes,Salmo gairdneri,672.86,11,209.8984004,mW,1
992,Chordata,Osteichthyes,Salmo gairdneri,94.5,15,40.63394492,mW,0
993,Chordata,Osteichthyes,Salmo trutta,239,10,65.29655143,mW,0
994,Chordata,Osteichthyes,Salvelinus alpinus,143.1,2,11.44713236,mW,1
995,Chordata,Osteichthyes,Salvelinus alpinus,143.1,6,17.61320064,mW,1
996,Chordata,Osteichthyes,Salvelinus fontinalis,146,10,31.3311628,mW,0
997,Chordata,Osteichthyes,Salvelinus fontinalis,150,15,61.17783048,mW,0
998,Chordata,Osteichthyes,Salvelinus fontinalis,153,20,85.97567223,mW,1
999,Chordata,Osteichthyes,Saratherodon mossambicus,80,16,13.01653095,mW,0
1000,Chordata,Osteichthyes,Saratherodon mossambicus,80,19,16.56445877,mW,0
1001,Chordata,Osteichthyes,Saratherodon mossambicus,80,22,25.09880313,mW,0
1002,Chordata,Osteichthyes,Saratherodon mossambicus,80,25,34.50070969,mW,1
1003,Chordata,Osteichthyes,Saratherodon mossambicus,80,28,41.51978917,mW,0
